name,url,address,airport,distance,unit,rating,restname,mon,tue,wed,thur,fri,sat,sun
Novotel Paris Les Halles,https://www.tripadvisor.com/Hotel_Review-g187147-d197424-Reviews-Novotel_Paris_Les_Halles-Paris_Ile_de_France.html,"8 Place Marguerite de Navarre, 75001 Paris France",Paris - Orly Airport,9.0,mi,4.0,Le Jardin Privé,Monday 12:00 - 22:30,Tuesday 12:00 - 22:30,Wednesday 12:00 - 22:30,Thursday 12:00 - 22:30,Friday 12:00 - 22:30,Saturday 12:00 - 22:30,Sunday 12:00 - 22:30
citizenM Paris Champs-Élysées,https://www.tripadvisor.com/Hotel_Review-g187147-d23338812-Reviews-CitizenM_Paris_Champs_Elysees-Paris_Ile_de_France.html,"128 rue la Boetie, 75008 Paris France",Paris - Orly Airport,10.0,mi,4.0,canteenM,Monday 6AM-11AM12PM-11PM,Tuesday 6AM-11AM12PM-11PM,Wednesday 6AM-11AM12PM-11PM,Thursday 6AM-11AM12PM-11PM,Friday 6AM-11AM12PM-11PM,Saturday 6AM-11AM12PM-11PM,Sunday 6AM-11AM12PM-11PM
Hotel Europe Saint Severin,https://www.tripadvisor.com/Hotel_Review-g187147-d250927-Reviews-Hotel_Europe_Saint_Severin-Paris_Ile_de_France.html,"38 rue Saint Severin, 75005 Paris France",Paris - Orly Airport,9.0,mi,3.0,RIM Café,Monday 12:00 - 23:00,Tuesday 12:00 - 23:00,Wednesday 12:00 - 23:00,Thursday 12:00 - 23:00,Friday 12:00 - 23:00,Saturday 12:00 - 23:00,Sunday 12:00 - 23:00
Hotel Tourisme Avenue,https://www.tripadvisor.com/Hotel_Review-g187147-d558849-Reviews-Hotel_Tourisme_Avenue-Paris_Ile_de_France.html,"66 avenue de la Motte Picquet, 75015 Paris France",Paris - Orly Airport,9.0,mi,4.0,Merci Jérôme,Monday 7AM-8PM,Tuesday 7AM-8PM,Wednesday 7AM-8PM,Thursday 7AM-8PM,Friday 7AM-8PM,Saturday 7AM-8PM,Sunday 7AM-8PM
Novotel Paris Centre Gare Montparnasse,https://www.tripadvisor.com/Hotel_Review-g187147-d597573-Reviews-Novotel_Paris_Centre_Gare_Montparnasse-Paris_Ile_de_France.html,"17 rue du Cotentin, 75015 Paris France",Paris - Orly Airport,8.0,mi,4.0,Halle Quatre,"Monday 12:00 - 14:30, 19:00 - 22:30","Tuesday 12:00 - 14:30, 19:00 - 22:30","Wednesday 12:00 - 14:30, 19:00 - 22:30","Thursday 12:00 - 14:30, 19:00 - 22:30","Friday 12:00 - 14:30, 19:00 - 22:30",Saturday Closed,Sunday Closed
citizenM Paris Gare de Lyon,https://www.tripadvisor.com/Hotel_Review-g187147-d12455412-Reviews-CitizenM_Paris_Gare_de_Lyon_Hotel-Paris_Ile_de_France.html,"8 Rue Van Gogh, 75012 Paris France",Paris - Orly Airport,8.0,mi,3.5,canteenM,Monday 6AM-11AM12PM-11PM,Tuesday 6AM-11AM12PM-11PM,Wednesday 6AM-11AM12PM-11PM,Thursday 6AM-11AM12PM-11PM,Friday 6AM-11AM12PM-11PM,Saturday 6AM-11AM12PM-11PM,Sunday 6AM-11AM12PM-11PM
Pullman Paris Centre - Bercy,https://www.tripadvisor.com/Hotel_Review-g187147-d207838-Reviews-Pullman_Paris_Centre_Bercy-Paris_Ile_de_France.html,"1 rue de Libourne Cour Saint-Emilion, 75012 Paris France",Paris - Orly Airport,7.0,mi,4.0,Ariette - Restaurant & Bar,Monday 12:00 - 22:30,Tuesday 12:00 - 22:30,Wednesday 12:00 - 22:30,Thursday 12:00 - 22:30,Friday 12:00 - 22:30,Saturday 12:00 - 22:30,Sunday 12:00 - 22:30
25hours Hotel Terminus Nord,https://www.tripadvisor.com/Hotel_Review-g187147-d653824-Reviews-25hours_Hotel_Terminus_Nord-Paris_Ile_de_France.html,"12 boulevard de Denain, 75010 Paris France",Paris - Orly Airport,11.0,mi,4.0,Neni Paris,Monday 7:30AM-10:30AM12PM-11PM,Tuesday 7:30AM-10:30AM12PM-11PM,Wednesday 7:30AM-10:30AM12PM-11PM,Thursday 7:30AM-10:30AM12PM-11PM,Friday 7:30AM-10:30AM12PM-11PM,Saturday 7:30AM-10:30AM12PM-11PM,Sunday 7:30AM-10:30AM12PM-11PM
Hyatt Regency Paris Etoile,https://www.tripadvisor.com/Hotel_Review-g187147-d595754-Reviews-Hyatt_Regency_Paris_Etoile-Paris_Ile_de_France.html,"3 Place du General Koenig, 75017 Paris France",Paris - Orly Airport,11.0,mi,4.0,MAYO - Hyatt Regency Paris Etoile,Monday 12:00 - 22:00,Tuesday 12:00 - 22:00,Wednesday 12:00 - 22:00,Thursday 12:00 - 22:00,Friday 12:00 - 22:00,Saturday 12:00 - 22:00,Sunday 12:00 - 22:00
Hotel Quartier Latin,https://www.tripadvisor.com/Hotel_Review-g187147-d198049-Reviews-Hotel_Quartier_Latin-Paris_Ile_de_France.html,"9 rue des Ecoles, 75005 Paris France",Paris - Orly Airport,8.0,mi,3.0,Restaurant #1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
